step,timestamp,room_temperature,outside_temperature,pue,cooling_setpoint,cooling_power,cooling_fan_speed
1,1774114021.303773,22.058005646663126,24.0,1.2641339353109082,22.0,1841.4047081928252,65.0
2,1774114021.308747,22.110610329523855,24.0,1.5845359700915227,22.0,3708.852187208266,65.0
3,1774114021.313783,22.169590886526542,24.0,1.8553315668651882,22.0,6103.985110785801,65.0
4,1774114021.318563,22.23566433468092,24.0,2.1220917443056875,22.0,8995.857479987339,65.0
5,1774114021.323481,22.28702232577927,24.0,2.9111150606841627,22.0,11983.910839822473,65.0
6,1774114021.452199,22.331358392481956,24.0,4.022280934824462,20.0,18973.200299401098,100.0
7,1774114021.45736,22.390600921542383,24.0,3.4759170311682954,20.0,20041.237113402058,100.0
8,1774114021.463324,22.44861681628935,24.0,3.7485777078253486,20.0,20041.237113402058,100.0
9,1774114021.468416,22.504971379011398,24.0,4.304808756468793,20.0,20041.237113402058,100.0
10,1774114021.473726,22.57802151102445,24.0,3.830164764869403,20.0,20041.237113402058,100.0
11,1774114021.904368,22.651151298181592,24.0,4.2938141985220755,18.0,20041.237113402058,100.0
12,1774114021.909767,22.732365117954238,24.0,4.291227813336313,18.0,20041.237113402058,100.0
13,1774114021.915704,22.827238819913042,24.0,3.9461186917343194,18.0,20041.237113402058,100.0
14,1774114021.920624,22.912054461239393,24.0,5.301707688509232,18.0,20041.237113402058,100.0
15,1774114021.926309,23.005416764585547,24.0,5.128862794288433,18.0,20041.237113402058,100.0
16,1774114022.327952,23.114751714508657,24.0,4.328444831936542,18.0,20041.237113402058,100.0
17,1774114022.332829,23.226588043513956,24.0,4.592496699094366,18.0,20041.237113402058,100.0
18,1774114022.337782,23.355380111855602,24.0,3.900329258423099,18.0,20041.237113402058,100.0
19,1774114022.343743,23.480252562187044,24.0,4.517687043220796,18.0,20041.237113402058,100.0
20,1774114022.348689,23.606897535743425,24.0,4.853304128762623,18.0,20041.237113402058,100.0
21,1774114022.748541,23.76287598301862,24.0,3.4803475306332543,18.0,20041.237113402058,100.0
22,1774114022.754193,23.911000127070785,24.0,4.1318917805729,18.0,20041.237113402058,100.0
23,1774114022.759005,24.0676333766491,24.0,3.9917912419784116,18.0,20041.237113402058,100.0
24,1774114022.763661,24.21798716375599,24.0,4.841880424043823,18.0,20041.237113402058,100.0
25,1774114022.76902,24.381146138229077,24.0,4.284380463091447,18.0,20041.237113402058,100.0
26,1774114023.159334,24.555061853163558,24.0,3.963434433821461,18.0,20041.237113402058,100.0
27,1774114023.165186,24.723945461511462,24.0,4.6369527319461845,18.0,20041.237113402058,100.0
28,1774114023.170588,24.910484607526417,24.0,3.846425899429406,18.0,20041.237113402058,100.0
29,1774114023.174953,25.09413868506719,24.0,4.299839825287106,18.0,20041.237113402058,100.0
30,1774114023.180034,25.28535056876081,24.0,4.137060735958026,18.0,20041.237113402058,100.0
31,1774114023.551882,25.478908472126154,24.0,4.293010895650916,18.0,20041.237113402058,100.0
32,1774114023.557101,25.69748984727906,24.0,3.3462899174805343,18.0,20041.237113402058,100.0
33,1774114023.56115,25.90601650914275,24.0,3.997244534541952,18.0,20041.237113402058,100.0
34,1774114023.565534,26.111195512575268,24.0,4.546326369441161,18.0,20041.237113402058,100.0
35,1774114023.570644,26.336725727799877,24.0,3.659984483003686,18.0,20041.237113402058,100.0
36,1774114023.642536,26.55035116524186,24.0,4.642594159364727,18.0,20041.237113402058,100.0
37,1774114023.647166,26.78028985387002,24.0,3.8897307615341017,18.0,20041.237113402058,100.0
38,1774114023.651481,26.996785316383402,24.0,5.194512756471392,18.0,20041.237113402058,100.0
39,1774114023.655518,27.2222838506982,24.0,4.701217589459858,18.0,20041.237113402058,100.0
40,1774114023.659955,27.463763750020536,24.0,3.886434583313739,18.0,20041.237113402058,100.0
41,1774114023.736793,27.71328774894939,24.0,3.67562257920159,18.0,20041.237113402058,100.0
42,1774114023.741339,27.96204473966771,24.0,3.8915609545200254,18.0,20041.237113402058,100.0
43,1774114023.745247,28.212435364917248,24.0,4.013246847195996,18.0,20041.237113402058,100.0
44,1774114023.749318,28.465234399071363,24.0,4.096382520358363,18.0,20041.237113402058,100.0
45,1774114023.75405,28.71209348650061,24.0,4.778540153095175,18.0,20041.237113402058,100.0
46,1774114023.831631,28.968495031278383,24.0,4.303048813048271,18.0,20041.237113402058,100.0
47,1774114023.836397,29.23010459259153,24.0,4.164789514953408,18.0,20041.237113402058,100.0
48,1774114023.840581,29.507271769876443,24.0,3.5518728094157606,18.0,20041.237113402058,100.0
49,1774114023.844498,29.78199980102256,24.0,3.8038095019671543,18.0,20041.237113402058,100.0
50,1774114023.84933,30.042899022730186,24.0,4.96707780233099,18.0,20041.237113402058,100.0
51,1774114023.922458,30.324019465325815,24.0,3.8065247388252104,18.0,20041.237113402058,100.0
52,1774114023.927016,30.602370852040575,24.0,4.11223911454574,18.0,20041.237113402058,100.0
53,1774114023.931315,30.881311838682127,24.0,4.256375064681103,18.0,20041.237113402058,100.0
54,1774114023.935254,31.173715348502974,24.0,3.691345931278835,18.0,20041.237113402058,100.0
55,1774114023.939512,31.472653900331366,24.0,3.5461698781686386,18.0,20041.237113402058,100.0
56,1774114024.015948,31.774201324723798,24.0,3.5767514453326306,18.0,20041.237113402058,100.0
57,1774114024.020085,32.06478097490394,24.0,4.330792493809452,18.0,20041.237113402058,100.0
58,1774114024.024401,32.36299275266819,24.0,4.058852657968307,18.0,20041.237113402058,100.0
59,1774114024.028567,32.669536571080044,24.0,3.784663162380132,18.0,20041.237113402058,100.0
60,1774114024.032713,32.98449579041202,24.0,3.554361172580607,18.0,20041.237113402058,100.0
61,1774114024.113766,33.290765847510954,24.0,4.1313945668341905,18.0,20041.237113402058,100.0
62,1774114024.118615,33.602516817524325,24.0,3.991735282352739,18.0,20041.237113402058,100.0
63,1774114024.122525,33.90952380131205,24.0,4.4637895403578804,18.0,20041.237113402058,100.0
64,1774114024.127217,34.2181980492897,24.0,4.514758544207768,18.0,20041.237113402058,100.0
65,1774114024.131532,34.54547894137266,24.0,3.59860142507213,18.0,20041.237113402058,100.0
66,1774114024.209372,34.879593493582455,24.0,3.4261248594098666,18.0,20041.237113402058,100.0
67,1774114024.213606,35.204722196565974,24.0,3.929590250076795,18.0,20041.237113402058,100.0
68,1774114024.2176,35.54147972536314,24.0,3.530496178963231,18.0,20041.237113402058,100.0
69,1774114024.222364,35.87590005931771,24.0,3.751070231615029,18.0,20041.237113402058,100.0
70,1774114024.226488,36.20494589081036,24.0,4.188362647415234,18.0,20041.237113402058,100.0
71,1774114024.298077,36.54488616392881,24.0,3.7470147755880086,18.0,20041.237113402058,100.0
72,1774114024.30275,36.897135724305464,24.0,3.364673924438067,18.0,20041.237113402058,100.0
73,1774114024.306868,37.239358679614085,24.0,3.900299459290399,18.0,20041.237113402058,100.0
74,1774114024.311245,37.597623344605346,24.0,3.3543209827738982,18.0,20041.237113402058,100.0
75,1774114024.31633,37.924410395183976,24.0,5.615524552279915,18.0,20041.237113402058,100.0
76,1774114024.394807,38.28167313669658,24.0,3.5753771070246017,18.0,20041.237113402058,100.0
77,1774114024.399234,38.63503503719067,24.0,3.8412257542825143,18.0,20041.237113402058,100.0
78,1774114024.403398,38.987341488976725,24.0,4.003053480017574,18.0,20041.237113402058,100.0
79,1774114024.407982,39.344828843122116,24.0,3.835221370704922,18.0,20041.237113402058,100.0
80,1774114024.412171,39.68702548481241,24.0,5.009285794567867,18.0,20041.237113402058,100.0
81,1774114024.485227,40.045023326446504,24.0,3.961212251608792,18.0,20041.237113402058,100.0
82,1774114024.489948,40.408942604732054,24.0,3.7272771560385585,18.0,20041.237113402058,100.0
83,1774114024.493885,40.78350176276701,24.0,3.3656463323886556,18.0,20041.237113402058,100.0
84,1774114024.497771,41.14347411141467,24.0,4.090587058743612,18.0,20041.237113402058,100.0
85,1774114024.502937,41.502746612993676,24.0,4.232577684130989,18.0,20041.237113402058,100.0
86,1774114024.576496,41.86592592762617,24.0,4.078247675773164,18.0,20041.237113402058,100.0
87,1774114024.580609,42.0,24.0,3.5274313367954973,18.0,20041.237113402058,100.0
88,1774114024.585197,42.0,24.0,3.727188346483811,18.0,20041.237113402058,100.0
89,1774114024.589011,42.0,24.0,4.084916791032615,18.0,20041.237113402058,100.0
90,1774114024.593358,42.0,24.0,3.6573205963287916,18.0,20041.237113402058,100.0
91,1774114024.667636,42.0,24.0,3.810426286893265,18.0,20041.237113402058,100.0
92,1774114024.671635,42.0,24.0,3.5035309508305508,18.0,20041.237113402058,100.0
93,1774114024.676431,42.0,24.0,4.159926077057108,18.0,20041.237113402058,100.0
94,1774114024.680437,42.0,24.0,3.982231944000093,18.0,20041.237113402058,100.0
95,1774114024.68453,42.0,24.0,4.009133835489097,18.0,20041.237113402058,100.0
96,1774114024.764178,42.0,24.0,4.58190621122383,18.0,20041.237113402058,100.0
97,1774114024.768661,42.0,24.0,3.724762270967955,18.0,20041.237113402058,100.0
98,1774114024.772682,42.0,24.0,3.736269984797169,18.0,20041.237113402058,100.0
99,1774114024.776904,42.0,24.0,3.833532210147242,18.0,20041.237113402058,100.0
100,1774114024.781197,42.0,24.0,3.9310252318534697,18.0,20041.237113402058,100.0
101,1774114024.855787,42.0,24.0,4.538870253414308,18.0,20041.237113402058,100.0
102,1774114024.860234,42.0,24.0,4.009352297140124,18.0,20041.237113402058,100.0
103,1774114024.864545,42.0,24.0,3.9729564194030424,18.0,20041.237113402058,100.0
104,1774114024.868538,42.0,24.0,4.188094651498465,18.0,20041.237113402058,100.0
105,1774114024.872844,42.0,24.0,3.89213223726292,18.0,20041.237113402058,100.0
106,1774114024.944301,42.0,24.0,3.673123813563824,18.0,20041.237113402058,100.0
107,1774114024.948316,42.0,24.0,3.2317940128179554,18.0,20041.237113402058,100.0
108,1774114024.952401,42.0,24.0,3.754701986676702,18.0,20041.237113402058,100.0
109,1774114024.957072,42.0,24.0,3.722448865525759,18.0,20041.237113402058,100.0
110,1774114024.961567,42.0,24.0,3.8493988500369696,18.0,20041.237113402058,100.0
111,1774114025.263629,42.0,24.0,4.856848801479614,18.0,20041.237113402058,100.0
112,1774114025.268229,42.0,24.0,3.8275699670836008,18.0,20041.237113402058,100.0
113,1774114025.272657,42.0,24.0,3.792232227490535,18.0,20041.237113402058,100.0
114,1774114025.277652,42.0,24.0,3.0922965228929504,18.0,20041.237113402058,100.0
115,1774114025.281812,42.0,24.0,3.8913221137033616,18.0,20041.237113402058,100.0
116,1774114025.423238,42.0,24.0,3.6983067702788146,18.0,20041.237113402058,100.0
117,1774114025.429579,42.0,24.0,3.8248349671540924,18.0,20041.237113402058,100.0
118,1774114025.438629,42.0,24.0,4.3593185588946834,18.0,20041.237113402058,100.0
119,1774114025.444059,42.0,24.0,3.421812529508071,18.0,20041.237113402058,100.0
120,1774114025.449992,42.0,24.0,3.5407536428576574,18.0,20041.237113402058,100.0
121,1774114026.101414,42.0,24.0,3.5274135510252926,18.0,20041.237113402058,100.0
122,1774114026.11228,42.0,24.0,4.2142034341280015,18.0,20041.237113402058,100.0
123,1774114026.123171,42.0,24.0,3.3453576477846916,18.0,20041.237113402058,100.0
124,1774114026.137256,42.0,24.0,4.486238435231586,18.0,20041.237113402058,100.0
125,1774114026.146294,42.0,24.0,3.5907828405916487,18.0,20041.237113402058,100.0
126,1774114026.314871,42.0,24.0,3.1461711122564875,18.0,20041.237113402058,100.0
127,1774114026.323377,42.0,24.0,4.2502954373785045,18.0,20041.237113402058,100.0
128,1774114026.332035,42.0,24.0,4.04047787360304,18.0,20041.237113402058,100.0
129,1774114026.340836,42.0,24.0,3.7612168441150544,18.0,20041.237113402058,100.0
130,1774114026.350018,42.0,24.0,4.009983499922645,18.0,20041.237113402058,100.0
131,1774114026.872667,42.0,24.0,4.569113528195523,18.0,20041.237113402058,100.0
132,1774114026.879384,42.0,24.0,3.77083742573097,18.0,20041.237113402058,100.0
133,1774114026.884973,42.0,24.0,4.2821095634391275,18.0,20041.237113402058,100.0
134,1774114026.89198,42.0,24.0,3.6229781892111332,18.0,20041.237113402058,100.0
135,1774114026.897555,42.0,24.0,4.2054757910827965,18.0,20041.237113402058,100.0
136,1774114027.131439,42.0,24.0,3.29883264206014,18.0,20041.237113402058,100.0
137,1774114027.135696,42.0,24.0,4.1357560595330884,18.0,20041.237113402058,100.0
138,1774114027.140345,42.0,24.0,3.9244955574818134,18.0,20041.237113402058,100.0
139,1774114027.145595,42.0,24.0,3.509078116614771,18.0,20041.237113402058,100.0
140,1774114027.149551,42.0,24.0,4.369023791943501,18.0,20041.237113402058,100.0
141,1774114027.224225,42.0,24.0,3.7063678867071905,18.0,20041.237113402058,100.0
142,1774114027.228434,42.0,24.0,3.3622868246479203,18.0,20041.237113402058,100.0
143,1774114027.23253,42.0,24.0,4.593956716581375,18.0,20041.237113402058,100.0
144,1774114027.237122,42.0,24.0,3.7208513729078225,18.0,20041.237113402058,100.0
145,1774114027.241501,42.0,24.0,3.693043667661229,18.0,20041.237113402058,100.0
146,1774114027.314549,42.0,24.0,3.5166044027008456,18.0,20041.237113402058,100.0
147,1774114027.319028,42.0,24.0,4.368359203481355,18.0,20041.237113402058,100.0
148,1774114027.32332,42.0,24.0,4.415767509728523,18.0,20041.237113402058,100.0
149,1774114027.327732,42.0,24.0,3.6005561072099073,18.0,20041.237113402058,100.0
150,1774114027.332328,42.0,24.0,3.6783638914156636,18.0,20041.237113402058,100.0
151,1774114027.409395,42.0,24.0,3.6948787332573367,18.0,20041.237113402058,100.0
152,1774114027.413539,42.0,24.0,3.660455157408558,18.0,20041.237113402058,100.0
153,1774114027.417845,42.0,24.0,4.078970748000848,18.0,20041.237113402058,100.0
154,1774114027.422877,42.0,24.0,3.701056339904653,18.0,20041.237113402058,100.0
155,1774114027.427004,42.0,24.0,3.679050144972268,18.0,20041.237113402058,100.0
156,1774114027.499621,42.0,24.0,4.094894385494164,18.0,20041.237113402058,100.0
157,1774114027.504592,42.0,24.0,3.2143907025607255,18.0,20041.237113402058,100.0
158,1774114027.508841,42.0,24.0,3.6158553068555617,18.0,20041.237113402058,100.0
159,1774114027.512923,42.0,24.0,4.340348582124124,18.0,20041.237113402058,100.0
160,1774114027.517901,42.0,24.0,3.5550885600091107,18.0,20041.237113402058,100.0
161,1774114027.590802,42.0,24.0,4.224323083256732,18.0,20041.237113402058,100.0
162,1774114027.595475,42.0,24.0,3.513480613840293,18.0,20041.237113402058,100.0
163,1774114027.599651,42.0,24.0,3.401896211519347,18.0,20041.237113402058,100.0
164,1774114027.60393,42.0,24.0,4.146993450669465,18.0,20041.237113402058,100.0
165,1774114027.608736,42.0,24.0,3.4595707577699,18.0,20041.237113402058,100.0
166,1774114027.678488,42.0,24.0,3.6375991292584384,18.0,20041.237113402058,100.0
167,1774114027.682631,42.0,24.0,3.5032408568211846,18.0,20041.237113402058,100.0
168,1774114027.687097,42.0,24.0,3.2076848213206666,18.0,20041.237113402058,100.0
169,1774114027.691645,42.0,24.0,3.8880042654510816,18.0,20041.237113402058,100.0
170,1774114027.695695,42.0,24.0,4.116167587706051,18.0,20041.237113402058,100.0
171,1774114027.763374,42.0,24.0,4.1836782880567664,18.0,20041.237113402058,100.0
172,1774114027.767596,42.0,24.0,4.147381072933116,18.0,20041.237113402058,100.0
